Model and layer,speaker error rate,phone error rate (shared speakers),phone error rate (across-speaker),speaker probing accuracy,phone probing accuracy (shared speaker),phone probing accuracy (across-speaker),ABX Within,ABX Across,Isoscore of frame representations,Isoscore of frame representations projected to speaker subspace,Isoscore of frame representations projected to phonetic subspace,self-CRV(spk),CRV(ph\spk),CRV(spk\ph),self-CRV(ph),Isoscore of phone centroids,Isoscore of speaker centroids
Logmel,0.964878,0.592128,0.597305,0.035122,0.407872,0.402695,?,?,0.0314,?,?,0.113978,0.369096,0.540948,0.294294,?,?
,,,,,,,,,,,,,,,,,
Hubert_0,0.0835907224,0.3666945447,0.3998164463,0.9164092776,0.6333054553,0.6001835537,0.0764329806,0.1374743134,0.0825,0.0272,0.0254,0.4517774558,0.8526666233,0.9081506799,0.4187178048,0.006716322507982510,0.01221461258229320
Hubert_1,0.01784472193,0.3170046537,0.3397584036,0.9821552781,0.6829953463,0.6602415964,0.06668266654,0.1015084088,0.1035,0.0255,0.0257,0.4534200327,0.9337133879,0.9637372615,0.4321166271,0.008299329203510370,0.012691319329261600
Hubert_2,0.00733041303,0.2955226723,0.3165930109,0.992669587,0.7044773277,0.6834069891,0.06082583964,0.08969490975,0.1003,0.0234,0.0248,0.4625545618,0.9136192618,0.9528004909,0.4379826777,0.009207660588272880,0.0161053146809038
Hubert_3,0.02901526945,0.2673085522,0.283952276,0.9709847305,0.7326914478,0.716047724,0.05685878173,0.07924123853,0.1046,0.0236,0.0257,0.4679517984,0.891601213,0.9387805385,0.445589311,0.010677162511367800,0.019037177977227300
Hubert_4,0.04982031069,0.2405269782,0.2548234535,0.9501796893,0.7594730218,0.7451765465,0.05317520723,0.07141915709,0.105,0.0235,0.0263,0.4684739275,0.8870266616,0.9304507508,0.4517114651,0.012196138455922600,0.019374061037782800
Hubert_5,0.1216297903,0.1957723328,0.2099044611,0.8783702097,0.8042276672,0.7900955389,0.04380495846,0.05680241436,0.121,0.0249,0.0263,0.4673612931,0.8989119921,0.9271936045,0.4600740364,0.015023720865941200,0.01866916593217920
Hubert_6,0.1922261601,0.1698415919,0.1813998867,0.8077738399,0.8301584081,0.8186001133,0.03947188333,0.04884496331,0.1349,0.0275,0.0268,0.4669487149,0.9104472378,0.9256839833,0.465546595,0.017617169825905200,0.018419844418609600
Hubert_7,0.2828636845,0.1535556954,0.1656365884,0.7171363155,0.8464443046,0.8343634116,0.03618462384,0.04285564274,0.1553,0.03,0.0276,0.4664593683,0.9270586486,0.9336433352,0.4689070076,0.01966207306828900,0.018132083445533500
Hubert_8,0.3215527806,0.1470140108,0.158674775,0.6784472194,0.8529859892,0.841325225,0.03863652423,0.04538144916,0.1635,0.0299,0.0274,0.4646045906,0.9324251413,0.9380054629,0.4685290438,0.019410274946788200,0.01711361280619090
Hubert_9,0.2918543606,0.1449190156,0.1575854414,0.7081456394,0.8550809844,0.8424145586,0.03949439153,0.04701693729,0.1587,0.029,0.0273,0.4629802383,0.9348194013,0.9406202501,0.4665183809,0.018166339900263600,0.016305495300892000
Hubert_10,0.2373368719,0.1374933755,0.1507972599,0.7626631281,0.8625066245,0.8492027401,0.03471379727,0.04150700197,0.1493,0.0283,0.0281,0.4563663449,0.9434686771,0.9434597175,0.4688117419,0.019598032122062600,0.013636321619169400
Hubert_11,0.2196784638,0.1345253184,0.1460554547,0.7803215362,0.8654746816,0.8539445453,0.03063130379,0.03699376062,0.1592,0.0277,0.028,0.4579014055,0.9507569145,0.9472940936,0.4710491472,0.021213383526769200,0.014181089126249200
Hubert_12,0.03376006094,0.1478586334,0.1574634856,0.9662399391,0.8521413666,0.8425365144,0.03382537141,0.04086729512,0.075,0.0204,0.0249,0.4498332031,0.9167808511,0.9102945177,0.4673378532,0.01865483244118250,0.011690697242423400
,,,,,,,,,,,,,,,,,
Wav2Vec2_0,0.1151108774,0.3250989533,0.3537647122,0.8848891226,0.6749010467,0.6462352878,0.07182909548,0.1114863902,0.1236,0.0309,0.0286,0.4537920733,0.8941412647,0.9239450643,0.439595398,0.009488301468589530,0.01280400000915060
Wav2Vec2_1,0.02933614322,0.2944689643,0.3150406588,0.9706638568,0.7055310357,0.6849593412,0.06560692191,0.09428881109,0.1244,0.0281,0.0277,0.4641178634,0.9054306546,0.942013584,0.4445538276,0.01045341291954190,0.01686378819513610
Wav2Vec2_2,0.0393411944,0.2513352489,0.2704379245,0.9606588056,0.7486647511,0.7295620755,0.05669685453,0.07804498821,0.1333,0.0254,0.0265,0.4703223673,0.893786766,0.9352888991,0.4515260444,0.012144499140540200,0.020661957700897800
Wav2Vec2_3,0.05138327647,0.2243756417,0.2402259695,0.9486167235,0.7756243583,0.7597740305,0.05053506792,0.06700283289,0.1309,0.0255,0.0268,0.4739791533,0.8965931407,0.9356816286,0.4577589366,0.014128862439123300,0.023748865561597700
Wav2Vec2_4,0.08987777815,0.1861895929,0.1997428594,0.9101222219,0.8138104071,0.8002571406,0.04283445328,0.05311453715,0.1329,0.0256,0.026,0.4739358414,0.9070382594,0.9338380799,0.4636493277,0.01662962058308210,0.02370723456823750
Wav2Vec2_5,0.2543493922,0.1582508032,0.171372643,0.7456506078,0.8417491968,0.828627357,0.03545697406,0.04269237444,0.1557,0.0274,0.0256,0.4724917256,0.9213716403,0.9363171301,0.4675044951,0.018757183190832900,0.022394219327517000
Wav2Vec2_6,0.3218384618,0.1491731807,0.1641710523,0.6781615382,0.8508268193,0.8358289477,0.03637541458,0.04187518731,0.1636,0.0265,0.0242,0.4716401141,0.9336561287,0.947700866,0.4669884259,0.018443570755716100,0.02168259877333800
Wav2Vec2_7,0.352470521,0.145086698,0.1603511499,0.647529479,0.854913302,0.8396488501,0.04644011334,0.05084348097,0.16,0.0243,0.0229,0.4687688561,0.9455390346,0.9567369735,0.4647661369,0.01719805599711050,0.019569330333330400
Wav2Vec2_8,0.433409377,0.143722467,0.1595201971,0.566590623,0.856277533,0.8404798029,0.05145351589,0.05795898288,0.1326,0.0189,0.0227,0.465281193,0.9420595354,0.9500495652,0.4640290316,0.016818922649365500,0.017472531980541700
Wav2Vec2_9,0.4858774138,0.140064506,0.1530854807,0.5141225862,0.859935494,0.8469145193,0.04687844589,0.05244945362,0.0799,0.0148,0.0217,0.4541338693,0.9322708643,0.9261073485,0.466091869,0.017921435973245700,0.012909131623392100
Wav2Vec2_10,0.6248157564,0.1507920407,0.1585300817,0.3751842436,0.8492079593,0.8414699183,0.0549697578,0.06371511519,0.0433,0.0097,0.0186,0.4196041395,0.9285318931,0.8907268967,0.4638747886,0.01674154458892190,0.006804741105787040
Wav2Vec2_11,0.8931573151,0.2736742738,0.2737638027,0.1068426849,0.7263257262,0.7262361973,0.08856942505,0.1096670181,0.0233,0.0076,0.0131,0.3851226871,0.9259048432,0.8322242525,0.4628312621,0.016234915542597500,0.0043708978233726800
Wav2Vec2_12,0.678712199,0.2738854294,0.2778317507,0.321287801,0.7261145706,0.7221682493,0.07740259171,0.09157928824,0.0106,0.0067,0.0089,0.3521222071,0.8313942482,0.6518744257,0.4539890292,0.012864390141549500,0.003104535100447260
,,,,,,,,,,,,,,,,,
WavLMPlus_0,0.05140397801,0.3875347786,0.4197303744,0.948596022,0.6124652214,0.5802696256,0.08382444084,0.1447392702,0.0738,0.0285,0.024,0.4489980421,0.8708048872,0.929096846,0.4099692722,0.00593698779300374,0.011477911808308700
WavLMPlus_1,0.006030356729,0.3442830645,0.3710741615,0.9939696433,0.6557169355,0.6289258385,0.06569061428,0.1062911153,0.0853,0.0212,0.0226,0.4535779521,0.9142488548,0.9577668293,0.4251825918,0.0074093191196558300,0.012738928076655400
WavLMPlus_2,0.01088486635,0.2968620615,0.3175376513,0.9891151336,0.7031379385,0.6824623487,0.05665300041,0.08283211291,0.0794,0.0185,0.0202,0.4626219923,0.8690033247,0.9369282995,0.4326129693,0.008370061277905400,0.016136720941752700
WavLMPlus_3,0.03360479944,0.2526704978,0.2689599861,0.9663952006,0.7473295022,0.7310400139,0.0459898524,0.06586640328,0.0871,0.0174,0.0203,0.4643989294,0.8643139553,0.9233803663,0.44295215,0.010123317757812400,0.017007218765705900
WavLMPlus_4,0.07040384552,0.2089426485,0.2223708199,0.9295961545,0.7910573515,0.7776291801,0.04022695497,0.05263219774,0.1012,0.0179,0.0201,0.4688376584,0.8658591978,0.9191315752,0.4507044876,0.011920370860615000,0.019615415359577100
WavLMPlus_5,0.08818025239,0.1890712464,0.201320016,0.9118197476,0.8109287536,0.798679984,0.03585242853,0.04548057541,0.1051,0.0179,0.0205,0.470944584,0.8793840484,0.9218711624,0.4564324613,0.013658994118182100,0.02113234986312150
WavLMPlus_6,0.2315176708,0.1653845517,0.1769929431,0.7684823292,0.8346154483,0.8230070569,0.03266646713,0.03931812197,0.1189,0.0201,0.0219,0.4693527803,0.903398078,0.9247075307,0.463353131,0.016484674772148000,0.019967027348918400
WavLMPlus_7,0.3291191911,0.1515269451,0.1634145131,0.6708808089,0.8484730549,0.8365854869,0.03316893801,0.03873182461,0.1299,0.0214,0.0224,0.4667580026,0.9166810385,0.9232266036,0.4673759411,0.018678133654414500,0.018306688236091600
WavLMPlus_8,0.4230855222,0.1482416117,0.1601568475,0.5769144778,0.8517583883,0.8398431525,0.03454551101,0.04085692018,0.1249,0.0231,0.0229,0.4640088043,0.9177355202,0.9215142531,0.466784954,0.018322600610996100,0.016808737586627200
WavLMPlus_9,0.382438061,0.1451177503,0.1570893502,0.617561939,0.8548822497,0.8429106498,0.03996087611,0.0468544811,0.1321,0.0247,0.0249,0.4627241657,0.9359464708,0.9377780967,0.4670442953,0.018477048187183200,0.016184525488544300
WavLMPlus_10,0.3439684012,0.1383317876,0.1503859176,0.6560315988,0.8616682124,0.8496140824,0.03826215491,0.04400106147,0.1342,0.026,0.0258,0.4613752209,0.9426807061,0.9416754013,0.468115182,0.019141408644709800,0.0155737584041884
WavLMPlus_11,0.3939067106,0.1307819383,0.1396434758,0.6060932894,0.8692180617,0.8603565242,0.0383069925,0.0460790582,0.0788,0.0075,0.0134,0.4550017625,0.9016093726,0.9042873667,0.4640891845,0.01684927933266480,0.013183259719463500
WavLMPlus_12,0.1567706436,0.1363547912,0.1435646634,0.8432293564,0.8636452088,0.8564353366,0.03269165382,0.03797454014,0.0779,0.0259,0.0268,0.4558476744,0.8811450943,0.8645388345,0.4694875076,0.02006094809750570,0.013460815923895700
,,,,,,,,,,,,,,,,,
WavLM_0,0.0691617535,0.3823718161,0.4162887416,0.9308382465,0.6176281839,0.5837112584,0.08294551075,0.1387251914,0.0667,0.0265,0.0239,0.4489146608,0.8490083881,0.9119838464,0.4101610557,0.005952444995561520,0.011457049608192100
WavLM_1,0.01171292769,0.3573995562,0.3824987288,0.9882870723,0.6426004438,0.6175012712,0.0715167895,0.1049196497,0.0762,0.0206,0.022,0.4572443172,0.9051250965,0.9535253233,0.4221444446,0.007069309256566440,0.013943110947682300
WavLM_2,0.008301314961,0.3157480706,0.337079511,0.991698685,0.6842519294,0.662920489,0.0610315986,0.08498807251,0.0723,0.0199,0.0208,0.4599661838,0.885550403,0.9428346379,0.4278560777,0.0077322060265254000,0.014979734001446400
WavLM_3,0.0206290782,0.2692938293,0.2862777036,0.9793709218,0.7307061707,0.7137222964,0.05253277346,0.07225539535,0.089,0.0184,0.0211,0.4658338611,0.8721771491,0.9339709425,0.4379650125,0.009204667321444940,0.01777625558198290
WavLM_4,0.06226814282,0.247273608,0.2609563812,0.9377318572,0.752726392,0.7390436188,0.04709258676,0.06126516685,0.1006,0.0194,0.0213,0.4679208221,0.8655316298,0.926498222,0.4457147366,0.01070484434979870,0.01901753632987050
WavLM_5,0.1880278891,0.2007758935,0.2138566544,0.8119721109,0.7992241065,0.7861433456,0.03987453133,0.0487864092,0.1263,0.0219,0.0224,0.4671909056,0.88122942,0.9200243297,0.457056222,0.013876329083461600,0.018565440490325500
WavLM_6,0.2051170051,0.1746277864,0.1872330926,0.7948829949,0.8253722136,0.8127669074,0.03540100157,0.04208536074,0.1408,0.0227,0.0232,0.4636137082,0.908435771,0.9272413758,0.4643330118,0.016973377513051300,0.016612065135259300
WavLM_7,0.3482784605,0.1568762214,0.1728071735,0.6517215395,0.8431237786,0.8271928265,0.03252859414,0.03830836341,0.1649,0.0249,0.0248,0.4613807626,0.9271209339,0.9311381342,0.4699256261,0.020372185776079900,0.015576180255234900
WavLM_8,0.3950722069,0.1501875559,0.1651384301,0.6049277931,0.8498124441,0.8348615699,0.03368493542,0.03764282912,0.1636,0.0268,0.0248,0.4614923613,0.9287504485,0.928165825,0.4699061919,0.02035818771141150,0.015625099909229900
WavLM_9,0.3585464211,0.1464260872,0.1605020443,0.6414535789,0.8535739128,0.8394979557,0.0375921987,0.04192103073,0.1742,0.0267,0.025,0.4597117416,0.9361998087,0.9356289984,0.4677109932,0.018885479115942500,0.014876894826111900
WavLM_10,0.3411095194,0.1417951542,0.1555411322,0.6588904806,0.8582048458,0.8444588678,0.03578102961,0.04178550094,0.1656,0.0271,0.0264,0.4571156791,0.9367733528,0.9335215332,0.4688238311,0.019606137279446100,0.013897375565293900
WavLM_11,0.3213664668,0.130601835,0.142351307,0.6786335332,0.869398165,0.857648693,0.02946351841,0.03418235108,0.1875,0.0289,0.0281,0.4584208483,0.9497818357,0.9415190654,0.4740893514,0.023855414550385200,0.014374539393784600
WavLM_12,0.05342858799,0.137081415,0.1447573494,0.946571412,0.862918585,0.8552426506,0.02999098413,0.03419789672,0.0824,0.0241,0.0248,0.4493785201,0.9035609826,0.8890539885,0.4693268055,0.01994901470164640,0.011573980699132900
,,,,,,,,,,,,,,,,,
Data2Vec_0,0.02804436753,0.2509833228,0.2781066679,0.9719556325,0.7490166772,0.7218933321,0.06202882528,0.08802675456,0.1552,0.0311,0.0293,0.4570077219,0.9049201276,0.9266535541,0.4472905193,0.011063849400678900,0.013859204242945000
Data2Vec_1,0.06921557749,0.2236241761,0.2421193844,0.9307844225,0.7763758239,0.7578806156,0.05270438641,0.06881316006,0.1596,0.0301,0.027,0.477973644,0.9250286632,0.9561966145,0.4581476326,0.014272190114108000,0.028292173035480200
Data2Vec_2,0.2736949753,0.2113481667,0.2234518854,0.7263050247,0.7886518333,0.7765481146,0.04907656088,0.05995331332,0.1224,0.0279,0.027,0.475104447,0.8691392691,0.9146427869,0.4627738599,0.016207871088371600,0.024881259383591400
Data2Vec_3,0.4487595641,0.1777661389,0.1860383396,0.5512404359,0.8222338611,0.8139616604,0.04556273669,0.05357419699,0.1029,0.0303,0.0282,0.4685356234,0.8761617782,0.895730408,0.4668619711,0.01836821485227640,0.019414606473289400
Data2Vec_4,0.6190462389,0.1582445928,0.1672819576,0.3809537611,0.8417554072,0.8327180424,0.04129147157,0.04523093626,0.1116,0.0314,0.0297,0.4604535737,0.9017151303,0.9033335836,0.469204584,0.019864666207698100,0.015180420015223000
Data2Vec_5,0.6230457752,0.1544168792,0.1657936839,0.3769542248,0.8455831208,0.8342063161,0.04418705404,0.04571742564,0.1262,0.0312,0.0304,0.4574660398,0.9208448265,0.9229873079,0.4693016809,0.019931620694631700,0.014022590446712300
Data2Vec_6,0.6142062204,0.1561599483,0.1694647589,0.3857937796,0.8438400517,0.8305352411,0.05148099735,0.05623854697,0.1286,0.0286,0.0297,0.4485405421,0.9373684822,0.9387107229,0.4669682809,0.018431527466129200,0.011364276349085200
Data2Vec_7,0.6569900798,0.1522080256,0.167079387,0.3430099202,0.8477919744,0.832920613,0.05823854357,0.06490629911,0.1476,0.0266,0.0269,0.4483050004,0.9458557697,0.9426689895,0.4669829199,0.01844027762623000,0.011306555990859000
Data2Vec_8,0.6719655692,0.1471278692,0.1610291412,0.3280344308,0.8528721308,0.8389708588,0.06166815013,0.06912340969,0.1372,0.0193,0.0229,0.4443757946,0.9518340666,0.9421179671,0.466545705,0.01818224229486360,0.010415782408471100
Data2Vec_9,0.6394641615,0.1451632937,0.1578293529,0.3605358385,0.8548367063,0.8421706471,0.06212484837,0.06890466809,0.106,0.0122,0.0193,0.4384839614,0.9461718749,0.9201078378,0.4665074024,0.01815995781503550,0.00929331646442589
Data2Vec_10,0.6566774867,0.152766967,0.1647580935,0.3433225133,0.847233033,0.8352419065,0.06325359643,0.07464165241,0.0771,0.0122,0.0197,0.4219710971,0.9454609528,0.9065904413,0.4669840646,0.018440962204094700,0.007050707773554060
Data2Vec_11,0.7266817926,0.1775218608,0.1862491783,0.2733182074,0.8224781392,0.8137508217,0.07469475269,0.08744841069,0.0454,0.01,0.0166,0.3552116261,0.9336869847,0.8364260915,0.4657745589,0.017743195735999800,0.0031985973349402700
Data2Vec_12,0.6015782849,0.2336188765,0.2409060279,0.3984217151,0.7663811235,0.7590939721,0.08999360353,0.1106439903,0.0125,0.0057,0.0078,0.3741349658,0.8360454391,0.7547039124,0.4401475334,0.00958785770301817,0.0038755122699064500
,,,,,,,,,,,,,,,,,
CPC_0,0.207563577,0.4518727996,0.4818487607,0.792436423,0.5481272004,0.5181512393,,,0.0956,0.0326,0.028,0.4386157291,0.8479013793,0.8899398939,0.4167903604,0.009802183770615130,0.013983180758146200
CPC_1,0.0007661805229,0.3615906776,0.3892558622,0.9992338195,0.6384093224,0.6107441378,,,0.0676,0.0158,0.0161,0.3786356357,0.9429440313,0.945923633,0.3846337596,0.006524502321262020,0.0061053281792415400
CPC_2,0.00123043835,0.2121503203,0.229238765,0.9987695617,0.7878496797,0.770761235,,,0.108,0.0222,0.0267,0.3976549568,0.9708718382,0.9678329132,0.4456061743,0.016031733506499400,0.007603584063860880
CPC_3,0.004402694557,0.2023936679,0.2162466033,0.9955973054,0.7976063321,0.7837533967,,,0.1321,0.0282,0.027,0.4305383666,0.9733572951,0.9753199131,0.4484009178,0.017006048528359500,0.012129578736584800
CPC_4,0.001474458064,0.2262600361,0.2447459384,0.9985255419,0.7737399639,0.7552540616,,,0.1318,0.0342,0.0261,0.4477202917,0.9453712841,0.9577515451,0.4296110639,0.01194400303617880,0.016759170465304600
,,,,,,,,,,,,,,,,,
CPC-Rand_0,0.9019578446,0.7648342786,0.7665199921,0.09804215544,0.2351657214,0.2334800079,,,0.0668,0.0118,0.0162,0.1214629734,0.0747993993,0.1597585892,0.04484939129,0.0001928296914036270,0.0006279317223263270
CPC-Rand_1,0.8750184824,0.7451886241,0.7469398627,0.1249815176,0.2548113759,0.2530601373,,,0.0214,0.0051,0.0064,0.1230693008,0.09885489132,0.179744503,0.04904922886,0.00021285121183155800,0.0006389474458380530
CPC-Rand_2,0.885539886,0.7662652194,0.7675402067,0.114460114,0.2337347806,0.2324597933,,,0.0109,0.0041,0.0049,0.1066839887,0.0947666189,0.1549323759,0.05085214545,0.0002215609679712740,0.0005308039443058420
CPC-Rand_3,0.9023590295,0.8010836129,0.7958607617,0.0976409705,0.1989163871,0.2041392383,,,0.0083,0.0035,0.004,0.1004453828,0.1288468649,0.16819605,0.06306413198,0.0002824484641597720,0.0004919604206972910
CPC-Rand_4,0.9256722174,0.8178113707,0.8129434308,0.07432778257,0.1821886293,0.1870565692,,,0.01,0.0045,0.0053,0.1550245689,0.1718172327,0.2467583754,0.08620191329,0.00040766577385457000,0.0008794067828528160
,,,,,,,,,,,,,,,,,
Wav2Vec2-Rand_0,0.8069416382,0.6997615183,0.7022109132,0.1930583618,0.3002384817,0.2977890868,0.3946178257,0.4326387644,0.095,0.0113,0.0117,0.3577239064,0.379719055,0.6441732154,0.151806438,0.000568433282220633,0.0032780992480566700
Wav2Vec2-Rand_1,0.7291908185,0.699730466,0.703310582,0.2708091815,0.300269534,0.296689418,0.3944064677,0.4328234196,0.0973,0.0109,0.012,0.3648766423,0.4169586016,0.674871773,0.1515944097,0.0005672939159229640,0.0035206401192749300
Wav2Vec2-Rand_2,0.6736423934,0.7006371932,0.7036785164,0.3263576066,0.2993628068,0.2963214836,0.396753788,0.4327721596,0.098,0.0105,0.012,0.3667371703,0.4520125354,0.7000222986,0.148028707,0.0005483387236407220,0.0035879954337532300
Wav2Vec2-Rand_3,0.6268983306,0.7025479448,0.7046727658,0.3731016694,0.2974520552,0.2953272342,0.399558723,0.4351845682,0.0978,0.01,0.0119,0.3673156591,0.4822889554,0.719161956,0.1443760177,0.0005293152474652750,0.0036093230013843000
Wav2Vec2-Rand_4,0.5867497764,0.7016764102,0.705212265,0.4132502236,0.2983235898,0.294787735,0.4014674723,0.4345526695,0.1003,0.01,0.0124,0.3731013107,0.5127210764,0.7439881154,0.1442063115,0.0005284409004995160,0.0038333243141492900
Wav2Vec2-Rand_5,0.5496236461,0.7027756616,0.7071036128,0.4503763539,0.2972243384,0.2928963872,0.3998481333,0.4340496957,0.1009,0.0102,0.0126,0.3820424909,0.5552587969,0.7783278022,0.1480887172,0.0005486545582884080,0.004222716464414370
Wav2Vec2-Rand_6,0.5207118843,0.7048747971,0.7080131133,0.4792881157,0.2951252029,0.2919868867,0.402402401,0.4370580018,0.1018,0.0105,0.013,0.3867274538,0.5892323673,0.8025717076,0.1490681535,0.0005538246189906740,0.004451292637955740
Wav2Vec2-Rand_7,0.4890695903,0.7053364413,0.7096750189,0.5109304097,0.2946635587,0.2903249811,0.4015688598,0.434507668,0.1026,0.0106,0.0133,0.388421384,0.6260840847,0.8240017382,0.1496409171,0.0005568614085235770,0.004538663159080520
Wav2Vec2-Rand_8,0.4638509821,0.7064108509,0.7100532885,0.5361490179,0.2935891491,0.2899467115,0.4036723375,0.4348029494,0.1033,0.0109,0.0135,0.3936974915,0.6460480905,0.8402446479,0.1507857539,0.0005629611815093390,0.0048286405907435900
Wav2Vec2-Rand_9,0.4341753337,0.7071995793,0.710960722,0.5658246663,0.2928004207,0.289039278,0.4015717506,0.4358183742,0.1023,0.0111,0.0136,0.3958364831,0.6654849396,0.8509333689,0.1516030898,0.0005673405328282020,0.0049545693638516900
Wav2Vec2-Rand_10,0.4097495942,0.7087439137,0.7129678244,0.5902504058,0.2912560863,0.2870321756,0.4022323191,0.4352541566,0.1002,0.011,0.0133,0.3957545473,0.6697289111,0.8518159372,0.1476108236,0.0005461423775858300,0.004949650374264770
Wav2Vec2-Rand_11,0.3874499023,0.7098307443,0.7141212364,0.6125500977,0.2901692557,0.2858787636,0.4032239616,0.4360683858,0.1021,0.0116,0.0139,0.4013488277,0.6974124131,0.8702124898,0.1536591146,0.0005784482726858640,0.005304267647963500
Wav2Vec2-Rand_12,0.3678579709,0.7103710543,0.7147558198,0.6321420291,0.2896289457,0.2852441802,0.4029581249,0.4344502389,0.1018,0.0118,0.0141,0.4037946735,0.7233583846,0.8853388249,0.1515008353,0.0005667915204943780,0.005472265111626300
